row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
1,1 FOR THE PLANET INC,,912151932,BURLINGTON,VT,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
2,1 GRAIN TO 1000 GRAINS,,463802710,MENLO PARK,CA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
3,1000 FRIENDS OF FLORIDA INC,,592761163,TALLAHASSEE,FL,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
4,10000 DEGREES,,953667812,SAN RAFAEL,CA,501(C)3,38570,,FOR RECIPIENT'S EXEMPT PURPOSE
5,101 INC,,237057664,PRINCETON,NJ,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
6,122 EAST 66TH STREET FOUNDATION INC,,272624336,NEW YORK,NY,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
7,12STONE CHURCH INC,,581744164,LAWRENCEVILLE,GA,501(C)3,23500,,FOR RECIPIENT'S EXEMPT PURPOSE
8,12TH ARMORED DIVISION MEMORIAL MUSEUM FOUNDATION I,,311681387,ABILENE,TX,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
9,147 MILLION ORPHANS FOUNDATION INC,,275038533,BRENTWOOD,TN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
10,1616 LATIMER FUND,,852592534,PHILADELPHIA,PA,501(C)3,41000,,FOR RECIPIENT'S EXEMPT PURPOSE
11,1789 ALLIANCE,,815232031,AUSTIN,TX,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
12,18 CORP,,223764133,LIVINGSTON,NJ,501(C)3,14354,,FOR RECIPIENT'S EXEMPT PURPOSE
13,1812 PRODUCTIONS INC,,232938464,PHILADELPHIA,PA,501(C)3,36000,,FOR RECIPIENT'S EXEMPT PURPOSE
14,1888 MESSAGE STUDY COMMITTEE,,020417308,BERRIEN SPRINGS,MI,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
15,1960 COMMUNITY HOPE CENTER,,474381517,HOUSTON,TX,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
16,19TH NEWS,,842627202,AUSTIN,TX,501(C)3,24000,,FOR RECIPIENT'S EXEMPT PURPOSE
17,1DAY SOONER INC,,851103820,CLAYMONT,DE,501(C)3,250000,,FOR RECIPIENT'S EXEMPT PURPOSE
18,1LOVE4ANIMALS INC,,822314784,SOUTHEASTERN,PA,501(C)3,21500,,FOR RECIPIENT'S EXEMPT PURPOSE
19,1ST PENTECOSTAL CHURCH OF TULSA INC,,731213539,TULSA,OK,501(C)3,13800,,FOR RECIPIENT'S EXEMPT PURPOSE
20,211 PALM BEACH TREASURE COAST INC,,237153017,LANTANA,FL,501(C)3,38000,,FOR RECIPIENT'S EXEMPT PURPOSE
21,24 7 GATEWAY LLC,,261193832,ATLANTA,GA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
22,25 40,,432021875,BURKE,VA,501(C)3,6400,,FOR RECIPIENT'S EXEMPT PURPOSE
23,26 WEST CHURCH,,811993024,HILLSBORO,OR,501(C)3,89200,,FOR RECIPIENT'S EXEMPT PURPOSE
24,2REMAIN1 MINISTRIES,,812827245,SCOTTSDALE,AZ,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
25,3 MARIPOSAS MONTESSORI FOUNDATION INC,,460641130,DOWAGIAC,MI,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
26,300 COMMITTEE LAND TRUST INC,,222659529,FALMOUTH,MA,501(C)3,8512,,FOR RECIPIENT'S EXEMPT PURPOSE
27,350 ORG,,261150699,BOSTON,MA,501(C)3,108700,,FOR RECIPIENT'S EXEMPT PURPOSE
28,350 SEATTLE,,464201865,SEATTLE,WA,501(C)3,9800,,FOR RECIPIENT'S EXEMPT PURPOSE
29,350PDX,,464120269,PORTLAND,OR,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
30,360 ACADEMIC SPORTS ACADEMY,,852677647,NEW YORK,NY,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
31,360 COMMUNITIES,,410987708,BURNSVILLE,MN,501(C)3,7400,,FOR RECIPIENT'S EXEMPT PURPOSE
32,3CIRCLE CHURCH,,631256311,FAIRHOPE,AL,501(C)3,18500,,FOR RECIPIENT'S EXEMPT PURPOSE
33,4 PAWS FOR ABILITY INC,,311625484,XENIA,OH,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
34,40 DAYS FOR LIFE,,260308665,BRYAN,TX,501(C)3,70824,,FOR RECIPIENT'S EXEMPT PURPOSE
35,403BWISE INC,,841863475,REDLANDS,CA,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
36,4222-HUMANITY THROUGH BASEBALL FOUNDATION INC,,900544837,BOULDER,CO,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
37,50CAN INC,,273069592,WASHINGTON,DC,501(C)3,175000,,FOR RECIPIENT'S EXEMPT PURPOSE
38,52 FOUNDATION,,462980441,COLLEGEVILLE,PA,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
39,54 BELOW INC,,882174944,NEW YORK,NY,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
40,564 PARK AVENUE PRESERVATION FOUNDATION,,203719314,NEW YORK,NY,501(C)3,12500,,FOR RECIPIENT'S EXEMPT PURPOSE
41,626 LANDMARK FOUNDATION,,364382547,CHICAGO,IL,501(C)3,20126,,FOR RECIPIENT'S EXEMPT PURPOSE
42,7TH STREET THEATRE ASSOCIATION,,911349026,HOQUIAM,WA,501(C)3,12750,,FOR RECIPIENT'S EXEMPT PURPOSE
43,80-20 EDUCATIONAL FOUNDATION,,202391770,SAINT PETERSBURG,FL,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
44,826 NATIONAL,,263217538,SAN FRANCISCO,CA,501(C)3,1000000,,FOR RECIPIENT'S EXEMPT PURPOSE
45,826 VALENCIA,,043694151,SAN FRANCISCO,CA,501(C)3,302500,,FOR RECIPIENT'S EXEMPT PURPOSE
46,826CHI INC NFP,,300248920,CHICAGO,IL,501(C)3,38000,,FOR RECIPIENT'S EXEMPT PURPOSE
47,A & M SPORTS ACADEMY INC,,462693682,NEW YORK,NY,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
48,A BEACON OF HOPE WOMENS CENTER INC,,582424267,JOHNS CREEK,GA,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
49,A BETTER BALANCE,,203664771,NEW YORK,NY,501(C)3,35000,,FOR RECIPIENT'S EXEMPT PURPOSE
50,A BETTER CHANCE IN LOWER MERION INC,,231917466,ARDMORE,PA,501(C)3,33500,,FOR RECIPIENT'S EXEMPT PURPOSE
51,A BETTER CHANCE OF WESTPORT INC,,061603592,WESTPORT,CT,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
52,A BETTER CHANCE STRATH HAVEN INC,,237442931,SWARTHMORE,PA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
53,A BETTER CHICAGO,,274499625,CHICAGO,IL,501(C)3,259900,,FOR RECIPIENT'S EXEMPT PURPOSE
54,A BETTER WORLD,,562238007,CHARLOTTE,NC,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
55,A BREATH OF HOPE LUNG FOUNDATION,,300475578,WAYZATA,MN,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
56,A COMMITMENT TO OUR ROOTS INC,,311742604,LAKE BALBOA,CA,501(C)3,8500,,FOR RECIPIENT'S EXEMPT PURPOSE
57,A COMMUNITY CENTER ESTABLISHED BY THE SURGENT FAMI,,843503006,DEVON,PA,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
58,A CONTEMPORARY THEATRE INC,,910787792,SEATTLE,WA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
59,A CURE IN OUR LIFETIME INC,,274736026,CHAPPAQUA,NY,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
60,A DOOR OF HOPE PREGNANCY CENTER INC,,510263402,WILMINGTON,DE,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
61,A FAMILY FOR EVERY ORPHAN,,264015124,SEATTLE,WA,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
62,A FARM LESS ORDINARY,,811191778,PURCELLVILLE,VA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
63,A GIFT FOR TEACHING INC,,593515162,ORLANDO,FL,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
64,A JEWISH VOICE FOR PEACE INC,,900018359,BERKELEY,CA,501(C)3,23500,,FOR RECIPIENT'S EXEMPT PURPOSE
65,A JUST WORLD,,871509228,SEATTLE,WA,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
66,A KID AGAIN INC,,311440073,COLUMBUS,OH,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
67,A LIGHT OF HOPE,,814235976,GRAND RAPIDS,MI,501(C)3,21500,,FOR RECIPIENT'S EXEMPT PURPOSE
68,A MOTHERS REST CHARITABLE RESPITE FOUNDATION,,814965846,NEW MARKET,MD,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
69,A PARTNERS,,262888198,MINNEAPOLIS,MN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
70,A PLACE AT THE TABLE,,472959935,RALEIGH,NC,501(C)3,22000,,FOR RECIPIENT'S EXEMPT PURPOSE
71,A PLACE CALLED HOME,,954427291,LOS ANGELES,CA,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
72,A PRECIOUS CHILD INC,,263349334,WESTMINSTER,CO,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
73,A SANCTUARY FOR MILITARY FAMILIES INC,,261410596,GRANBY,CO,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
74,A SIMPLE GESTURE GREENSBORO INC,,472995932,GREENSBORO,NC,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
75,A SPRING OF HOPE INC,,260851887,POMPANO BEACH,FL,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
76,A TINY HOME FOR GOOD,,471629588,SYRACUSE,NY,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
77,A WELL-FED WORLD,,270865905,WASHINGTON,DC,501(C)3,1226424,,FOR RECIPIENT'S EXEMPT PURPOSE
78,A WIDER CIRCLE INC,,522345144,KENSINGTON,MD,501(C)3,32500,,FOR RECIPIENT'S EXEMPT PURPOSE
79,AARP FOUNDATION,,520794300,WASHINGTON,DC,501(C)3,56050,,FOR RECIPIENT'S EXEMPT PURPOSE
80,AATS FOUNDATION,,237288866,BEVERLY,MA,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
81,AAVI INC,,650406418,ELLENTON,FL,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
82,ABBEY FOUNDATION OF OREGON,,043703021,SAINT BENEDICT,OR,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
83,ABBEY THEATRE FOUNDATION INC,,453537924,WEST PALM BEACH,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
84,ABBOTT NORTHWESTERN HOSPITAL FOUNDATION,,043643816,MINNEAPOLIS,MN,501(C)3,27000,,FOR RECIPIENT'S EXEMPT PURPOSE
85,ABBY KELLEY FOSTER HOUSE INC,,042648411,WORCESTER,MA,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
86,ABC IN DARIEN INC,,061030004,DARIEN,CT,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
87,ABDUL SATTAR EDHI INTERNATIONAL FOUNDATION INC,,113013369,CORONA,NY,501(C)3,27500,,FOR RECIPIENT'S EXEMPT PURPOSE
88,ABIDING HOPE LUTHERAN CHURCH,,841074390,LITTLETON,CO,501(C)3,63000,,FOR RECIPIENT'S EXEMPT PURPOSE
89,ABIDING PEACE ACADEMY,,570706010,SIMPSONVILLE,SC,501(C)3,125200,,FOR RECIPIENT'S EXEMPT PURPOSE
90,ABILENE BOYS RANCH INC,,750948921,ABILENE,TX,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
91,ABILENE CHRISTIAN UNIVERSITY,,750851900,ABILENE,TX,501(C)3,8500,,FOR RECIPIENT'S EXEMPT PURPOSE
92,ABILIS INC,,066009327,GREENWICH,CT,501(C)3,11500,,FOR RECIPIENT'S EXEMPT PURPOSE
93,ABILITYPATH,,941156502,REDWOOD CITY,CA,501(C)3,19000,,FOR RECIPIENT'S EXEMPT PURPOSE
94,ABILITYPATH HOUSING,,941546643,REDWOOD CITY,CA,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
95,ABINGTON MEMORIAL HOSPITAL,,231352152,PHILADELPHIA,PA,501(C)3,31000,,FOR RECIPIENT'S EXEMPT PURPOSE
96,ABINGTON MEMORIAL HOSPITAL FOUNDATION,,232188052,PHILADELPHIA,PA,501(C)3,180550,,FOR RECIPIENT'S EXEMPT PURPOSE
97,ABLE FLIGHT INC,,205001037,CHAPEL HILL,NC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
98,ABLE FORCE EMPLOYMENT INC,,831264728,RICHBORO,PA,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
99,ABODE SERVICES,,943087060,FREMONT,CA,501(C)3,12500,,FOR RECIPIENT'S EXEMPT PURPOSE
100,ABORTION CARE NETWORK,,261972058,WASHINGTON,DC,501(C)3,67250,,FOR RECIPIENT'S EXEMPT PURPOSE
101,ABORTION LIBERATION FUND OF PA,,843028266,PHILADELPHIA,PA,501(C)3,17220,,FOR RECIPIENT'S EXEMPT PURPOSE
102,ABORTION SURVIVORS NETWORK INC,,841906194,KANSAS CITY,MO,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
103,ABOVE THE CLOUDS,,392033029,MILWAUKEE,WI,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
104,ABRAHAM FOUNDATION,,300139596,NEW YORK,NY,501(C)3,40000,,FOR RECIPIENT'S EXEMPT PURPOSE
105,ABRAHAM JOSHUA HESCHEL SCHOOL,,133091539,NEW YORK,NY,501(C)3,25880,,FOR RECIPIENT'S EXEMPT PURPOSE
106,ABRAHAMS BLESSINGS INTERNATIONAL- WAWEZA MOVEMENT,,020638113,CINCINNATI,OH,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
107,ABRAHAMS TENT INC,,260902504,EAST MEADOW,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
108,ABRAMS HEBREW ACADEMY,,216001415,YARDLEY,PA,501(C)3,6100,,FOR RECIPIENT'S EXEMPT PURPOSE
109,ABUNDANT GRACE COASTSIDE WORKER,,475557537,HALF MOON BAY,CA,501(C)3,25490,,FOR RECIPIENT'S EXEMPT PURPOSE
110,ABUNDANT LIFE CHURCH OF WILMINGTON,,237255136,WILMINGTON,MA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
111,ACADEMY ART MUSEUM INC,,526051766,EASTON,MD,501(C)3,92100,,FOR RECIPIENT'S EXEMPT PURPOSE
112,ACADEMY AT THE LAKES INC,,593592809,LAND O LAKES,FL,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
113,ACADEMY FOR URBAN SCHOOL LEADERSHIP,,364447457,CHICAGO,IL,501(C)3,18500,,FOR RECIPIENT'S EXEMPT PURPOSE
114,ACADEMY IN MANAYUNK INC,,010849648,CONSHOHOCKEN,PA,501(C)3,37000,,FOR RECIPIENT'S EXEMPT PURPOSE
115,ACADEMY OF AMERICAN POETS INCORPORATED,,131879953,NEW YORK,NY,501(C)3,42500,,FOR RECIPIENT'S EXEMPT PURPOSE
116,ACADEMY OF BASIC EDUCATION INC,,390987840,BROOKFIELD,WI,501(C)3,5100,,FOR RECIPIENT'S EXEMPT PURPOSE
117,ACADEMY OF MUSIC OF PHILADELPHIA INC,,231501159,PHILADELPHIA,PA,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
118,ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,,231352000,PHILADELPHIA,PA,501(C)3,64250,,FOR RECIPIENT'S EXEMPT PURPOSE
119,ACADEMY OF NOTRE DAME DE NAMUR,,231465491,VILLANOVA,PA,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
120,ACADEMY OF THE CITY CHARTER SCHOOL,,274466971,WOODSIDE,NY,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
121,ACADEMY OF THE HOLY ANGELS,,410696903,MINNEAPOLIS,MN,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
122,ACADEMY OF THE HOLY CROSS INC,,520683113,KENSINGTON,MD,501(C)3,10750,,FOR RECIPIENT'S EXEMPT PURPOSE
123,ACADEMY OF THE NEW CHURCH,,231433899,BRYN ATHYN,PA,501(C)3,193000,,FOR RECIPIENT'S EXEMPT PURPOSE
124,ACADEMY OF THE SACRED HEART,,430662494,SAINT CHARLES,MO,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
125,ACADEMY OF VOCAL ARTS,,231352001,PHILADELPHIA,PA,501(C)3,20500,,FOR RECIPIENT'S EXEMPT PURPOSE
126,ACADEMY PREP CENTER OF ST PETERSBURG INC,,593623000,SAINT PETERSBURG,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
127,ACCA INC ANNANDALE CHRISTIAN COMMUNITY FOR ACTION,,540836157,ANNANDALE,VA,501(C)3,29000,,FOR RECIPIENT'S EXEMPT PURPOSE
128,ACCELERATE CHANGE INC,,823400062,BOSTON,MA,501(C)3,350500,,FOR RECIPIENT'S EXEMPT PURPOSE
129,ACCESO IMPACT INC,,863125507,BROOKLYN,NY,501(C)3,1000000,,FOR RECIPIENT'S EXEMPT PURPOSE
130,ACCESS,,930665396,MEDFORD,OR,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
131,ACCESS COLLEGE FOUNDATION,,541440734,NORFOLK,VA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
132,ACCESS COMMUNITY HEALTH CENTERS INC,,391391134,MADISON,WI,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
133,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,,010595862,SAN FRANCISCO,CA,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
134,ACCESS JUSTICE BROOKLYN INC,,113155182,BROOKLYN,NY,501(C)3,12750,,FOR RECIPIENT'S EXEMPT PURPOSE
135,ACCESS LIVING OF METROPOLITAN CHICAGO,,363310774,CHICAGO,IL,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
136,ACCESS NOW,,270597430,NEW YORK,NY,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
137,ACCESS REPRODUCTIVE JUSTICE,,510163201,OAKLAND,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
138,ACCESSIBLE HOPE INTERNATIONAL,,270571060,WHEATON,IL,501(C)3,25088,,FOR RECIPIENT'S EXEMPT PURPOSE
139,ACCESSMATTERS,,231878446,PHILADELPHIA,PA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
140,ACCION INTERNATIONAL,,132535763,WASHINGTON,DC,501(C)3,17000,,FOR RECIPIENT'S EXEMPT PURPOSE
141,ACCION OPPORTUNITY FUND COMMUNITY DEVELOPMENT,,311719434,SAN JOSE,CA,501(C)3,1054500,,FOR RECIPIENT'S EXEMPT PURPOSE
142,ACCORDIA CORPORATION,,851327838,LEXINGTON,MA,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
143,ACCOUNTABILITY BOARD INC,,883831974,WAKEFIELD,MA,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
144,ACCURACY IN MEDIA INC,,237135837,WASHINGTON,DC,501(C)3,1050000,,FOR RECIPIENT'S EXEMPT PURPOSE
145,ACES FOR ALZHEIMERS INC,,812537952,LARCHMONT,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
146,ACHIEVE NOW,,383920150,PHILADELPHIA,PA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
147,ACHIEVE TAHOE,,680024920,TRUCKEE,CA,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
148,ACHIEVEABILITY,,232215980,PHILADELPHIA,PA,501(C)3,103000,,FOR RECIPIENT'S EXEMPT PURPOSE
149,ACHIEVEMENT CENTER FOR CHILDREN,,340714766,CLEVELAND,OH,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
150,ACHIEVEMENT FIRST INC,,651203744,NEW HAVEN,CT,501(C)3,528000,,FOR RECIPIENT'S EXEMPT PURPOSE
151,ACHIEVEMENT REWARDS FOR COLLEGE,,840718040,DENVER,CO,501(C)3,19500,,FOR RECIPIENT'S EXEMPT PURPOSE
152,ACHIEZER COMMUNITY RESOURCE CENTER INC,,274592919,LAWRENCE,NY,501(C)3,18500,,FOR RECIPIENT'S EXEMPT PURPOSE
153,ACHILLES INTERNATIONAL INC,,133318293,NEW YORK,NY,501(C)3,11657,,FOR RECIPIENT'S EXEMPT PURPOSE
154,ACKERMAN INSTITUTE FOR THE FAMILY,,131923959,NEW YORK,NY,501(C)3,25200,,FOR RECIPIENT'S EXEMPT PURPOSE
155,ACLU FOUNDATION OF MASSACHUSETTS INC,,473686152,BOSTON,MA,501(C)3,12694,,FOR RECIPIENT'S EXEMPT PURPOSE
156,ACLU FOUNDATION OF SAN DIEGO AND IMPERIAL COUNTIES,,330325791,SAN DIEGO,CA,501(C)3,16500,,FOR RECIPIENT'S EXEMPT PURPOSE
157,ACLU FOUNDATION OF SOUTHERN CALIF,,952673361,LOS ANGELES,CA,501(C)3,92580,,FOR RECIPIENT'S EXEMPT PURPOSE
158,ACLU FOUNDATION OF TEXAS INC,,760343171,HOUSTON,TX,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
159,ACORN CENTER FOR THE PERFORMING ARTS,,472717128,THREE OAKS,MI,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
160,ACRES OF DIAMONDS,,911684691,DUVALL,WA,501(C)3,11637,,FOR RECIPIENT'S EXEMPT PURPOSE
161,ACT II PLAYHOUSE LTD,,232980813,AMBLER,PA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
162,ACTASIA INC,,464200560,BREWSTER,NY,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
163,ACTBEYOND,,271928559,RICHARDSON,TX,501(C)3,9400,,FOR RECIPIENT'S EXEMPT PURPOSE
164,ACTION AGAINST HUNGER USA,,133327220,NEW YORK,NY,501(C)3,176950,,FOR RECIPIENT'S EXEMPT PURPOSE
165,ACTION FOR THE CLIMATE EMERGENCY INC,,263106566,CHARLESTOWN,MA,501(C)3,7050,,FOR RECIPIENT'S EXEMPT PURPOSE
166,ACTION INTERNATIONAL MINISTRIES,,510163499,MOUNTLAKE TERRACE,WA,501(C)3,111900,,FOR RECIPIENT'S EXEMPT PURPOSE
167,ACTION NETWORK,,450479312,POINT ARENA,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
168,ACTIONN,,800732126,LAS VEGAS,NV,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
169,ACTIVATE GLOBAL INC,,475502184,BERKELEY,CA,501(C)3,3437000,,FOR RECIPIENT'S EXEMPT PURPOSE
170,ACTIVE CONSERVATION ALLIANCE INC,,883783116,CASTLE PINES,CO,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
171,ACTIVE MINDS INC,,200587172,WASHINGTON,DC,501(C)3,40200,,FOR RECIPIENT'S EXEMPT PURPOSE
172,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBE,,382926822,GRAND RAPIDS,MI,501(C)3,12200,,FOR RECIPIENT'S EXEMPT PURPOSE
173,ACTS CHURCH LAKEWAY,,743017234,LAKEWAY,TX,501(C)3,43250,,FOR RECIPIENT'S EXEMPT PURPOSE
174,ACTS COMMUNITY DEVELOPMENT CORPORATION,,391837474,MILWAUKEE,WI,501(C)3,40000,,FOR RECIPIENT'S EXEMPT PURPOSE
175,ACTS LEGACY FOUNDATION INC,,912161987,FORT WASHINGTON,PA,501(C)3,16000,,FOR RECIPIENT'S EXEMPT PURPOSE
176,ACTS OF WISDOM,,464531619,CYPRESS,TX,501(C)3,7650,,FOR RECIPIENT'S EXEMPT PURPOSE
177,ACTUARIAL FOUNDATION,,363968441,SCHAUMBURG,IL,501(C)3,124500,,FOR RECIPIENT'S EXEMPT PURPOSE
178,ACUMEN FUND INC,,134166228,NEW YORK,NY,501(C)3,35400,,FOR RECIPIENT'S EXEMPT PURPOSE
179,ADA BIBLE CHURCH,,383086516,ADA,MI,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
180,ADA DEVELOPERS ACADEMY,,852275400,SEATTLE,WA,501(C)3,250500,,FOR RECIPIENT'S EXEMPT PURPOSE
181,ADA JENKINS FAMILIES AND CAREERS DEVELOPMENT CENTE,,561927067,DAVIDSON,NC,501(C)3,22700,,FOR RECIPIENT'S EXEMPT PURPOSE
182,ADAIR COMMUNITY FOR EXCELLENCE IN EDUCATION FOUNDA,,263165429,BIG CABIN,OK,501(C)3,286668,,FOR RECIPIENT'S EXEMPT PURPOSE
183,ADAM J LEWIS ACADEMY INC,,453859735,BRIDGEPORT,CT,501(C)3,91000,,FOR RECIPIENT'S EXEMPT PURPOSE
184,ADAMAH INC,,432080719,REISTERSTOWN,MD,501(C)3,54000,,FOR RECIPIENT'S EXEMPT PURPOSE
185,ADAMS COUNTY COMMUNITY FOUNDATION INC,,261404848,GETTYSBURG,PA,501(C)3,105500,,FOR RECIPIENT'S EXEMPT PURPOSE
186,ADAMS COUNTY HISTORICAL SOCIETY,,237258494,GETTYSBURG,PA,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
187,ADAPTIVE SPORTS CENTER OF CRESTED BUTTE INC,,841063447,CRESTED BUTTE,CO,501(C)3,19500,,FOR RECIPIENT'S EXEMPT PURPOSE
188,ADAS ISRAEL HEBREW CONGREGATION,,530196563,WASHINGTON,DC,501(C)3,70315,,FOR RECIPIENT'S EXEMPT PURPOSE
189,ADAT ARI EL,,237366318,VALLEY VILLAGE,CA,501(C)3,16700,,FOR RECIPIENT'S EXEMPT PURPOSE
190,ADAT SHALOM RECONSTRUCTIONIST,,521763027,BETHESDA,MD,501(C)3,17740,,FOR RECIPIENT'S EXEMPT PURPOSE
191,ADAT SHALOM SYNAGOGUE,,381437934,FARMINGTON HILLS,MI,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
192,ADDISON GILBERT SOCIETY INC,,464371382,BURLINGTON,MA,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
193,ADELANTE LATINA INC,,464288885,BALTIMORE,MD,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
194,ADELPHI UNIVERSITY,,111630741,GARDEN CITY,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
