row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
18,350 SEATTLE,,464201865,SEATTLE,WA,501(C)3,113204,,FOR RECIPIENT'S EXEMPT PURPOSE
19,350PDX,,464120269,PORTLAND,OR,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
20,350VERMONT,,463647561,BURLINGTON,VT,501(C)3,5040,,FOR RECIPIENT'S EXEMPT PURPOSE
21,360 COMMUNITIES,,410987708,BURNSVILLE,MN,501(C)3,8100,,FOR RECIPIENT'S EXEMPT PURPOSE
22,3CIRCLE CHURCH,,631256311,FAIRHOPE,AL,501(C)3,9000,,FOR RECIPIENT'S EXEMPT PURPOSE
23,3L PLACE INC,,264668957,SOMERVILLE,MA,501(C)3,46000,,FOR RECIPIENT'S EXEMPT PURPOSE
24,4 THE CHILDREN,,020666382,DURANGO,CO,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
25,40 DAYS FOR LIFE,,260308665,BRYAN,TX,501(C)3,278355,,FOR RECIPIENT'S EXEMPT PURPOSE
26,403BWISE INC,,841863475,REDLANDS,CA,501(C)3,300000,,FOR RECIPIENT'S EXEMPT PURPOSE
27,404 FOUNDATION INC,,921567204,CAMARILLO,CA,501(C)3,1000000,,FOR RECIPIENT'S EXEMPT PURPOSE
28,4ATX FOUNDATION,,834164008,AUSTIN,TX,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
29,4D MINISTRIES,,453177621,ALLEN,TX,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
30,4KIDS OF SOUTH FLORIDA INC,,611416525,FORT LAUDERDALE,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
31,4TUCSON INC,,300701296,TUCSON,AZ,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
32,4WORD,,272865980,DALLAS,TX,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
33,5 STONES CHURCH INC,,475563135,FRANKLIN,TN,501(C)3,26000,,FOR RECIPIENT'S EXEMPT PURPOSE
34,5 STRONG SCHOLARSHIP FOUNDATION INC,,471332851,COLLEGE PARK,GA,501(C)3,250000,,FOR RECIPIENT'S EXEMPT PURPOSE
35,50 FATHERS MOVEMENT,,851870850,HOUSTON,TX,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
36,5050 WOMEN ON BOARDS,,273272688,LOS ANGELES,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
37,50CAN INC,,273069592,WASHINGTON,DC,501(C)3,175000,,FOR RECIPIENT'S EXEMPT PURPOSE
38,54 BELOW INC,,882174944,NEW YORK CITY,NY,501(C)3,70510,,FOR RECIPIENT'S EXEMPT PURPOSE
39,564 PARK AVENUE PRESERVATION FOUNDATION,,203719314,NEW YORK CITY,NY,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
40,585 ARTS INC,,862767219,CAMBRIDGE,MA,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
41,5TH AVENUE THEATRE ASSOCIATION,,911087612,SEATTLE,WA,501(C)3,33750,,FOR RECIPIENT'S EXEMPT PURPOSE
42,7 LAKES ALLIANCE,,043047156,BELGRADE,ME,501(C)3,64500,,FOR RECIPIENT'S EXEMPT PURPOSE
43,70 FACES MEDIA,,130887610,NEW YORK CITY,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
44,7TH CIRCUIT COURT APPOINTED SPECIAL ADVOCATE PROGR,,460402202,RAPID CITY,SD,501(C)3,23000,,FOR RECIPIENT'S EXEMPT PURPOSE
45,80-20 EDUCATIONAL FOUNDATION,,202391770,ST PETERSBURG,FL,501(C)3,11500,,FOR RECIPIENT'S EXEMPT PURPOSE
46,826 NATIONAL,,263217538,SAN FRANSCIO,CA,501(C)3,1020500,,FOR RECIPIENT'S EXEMPT PURPOSE
47,826 VALENCIA,,043694151,SAN FRANCISCO,CA,501(C)3,613000,,FOR RECIPIENT'S EXEMPT PURPOSE
48,826CHI INC NFP,,300248920,CHICAGO,IL,501(C)3,41000,,FOR RECIPIENT'S EXEMPT PURPOSE
49,826LA,,383722092,LOS ANGELES,CA,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
50,A & M CHURCH OF CHRIST,,746023136,COLLEGE STATION,TX,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
51,A BEACON OF HOPE WOMENS CENTER INC,,582424267,JOHNS CREEK,GA,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
52,A BETTER BALANCE,,203664771,NEW YORK CITY,NY,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
53,A BETTER CHANCE IN LOWER MERION INC,,231917466,ARDMORE,PA,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
54,A BETTER CHICAGO,,274499625,CHICAGO,IL,501(C)3,90000,,FOR RECIPIENT'S EXEMPT PURPOSE
55,A BETTER WORLD,,562238007,CHARLOTTE,NC,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
56,A BROADER VIEW VOLUNTEERS CORP,,260594308,ELKINS PARK,PA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
57,A CHILDHOOD FOR CHILDREN INC,,455257972,GOTHA,FL,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
58,A COMMUNITY CENTER ESTABLISHED BY THE SURGENT FAMI,,843503006,DEVON,PA,501(C)3,49000,,FOR RECIPIENT'S EXEMPT PURPOSE
59,A CONTEMPORARY THEATRE INC,,910787792,SEATTLE,WA,501(C)3,17700,,FOR RECIPIENT'S EXEMPT PURPOSE
60,A CURE IN OUR LIFETIME INC,,274736026,CHAPPAQUA,NY,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
61,A DOOR OF HOPE PREGNANCY CENTER,,510263402,WILMINGTON,DE,501(C)3,13500,,FOR RECIPIENT'S EXEMPT PURPOSE
62,A FOUNDATION BUILDING STRENGTH,,261761329,PALO ALTO,CA,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
63,A FUND INC,,611237178,LOUISVILLE,KY,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
64,A GIFT FOR TEACHING INC,,593515162,ORLANDO,FL,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
65,A GIFT FROM THE HEART,,920533656,POINT PLEASANT BEACH,NJ,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
66,A HAND OF HOPE PREGNANCY RESOURCE CENTER,,202736193,FUQUAY VARINA,NC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
67,A HAVEN,,813342825,EXTON,PA,501(C)3,24500,,FOR RECIPIENT'S EXEMPT PURPOSE
68,A HOUSE ON BEEKMAN INC,,900912680,BRONX,NY,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
69,A JEWISH VOICE FOR PEACE INC,,900018359,BERKELEY,CA,501(C)3,122600,,FOR RECIPIENT'S EXEMPT PURPOSE
70,A JUST WORLD,,871509228,SEATTLE,WA,501(C)3,132500,,FOR RECIPIENT'S EXEMPT PURPOSE
71,A KID AGAIN INC,,311440073,COLUMBUS,OH,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
72,A LEG TO STAND ON INC,,020594709,NEW YORK CITY,NY,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
73,A LIGHT OF HOPE,,814235976,GRAND RAPIDS,MI,501(C)3,17000,,FOR RECIPIENT'S EXEMPT PURPOSE
74,A MEANINGFUL PURPOSE,,843830363,EGG HARBOR TOWNSHIP,NJ,501(C)3,64000,,FOR RECIPIENT'S EXEMPT PURPOSE
75,A MOTHERS REST CHARITABLE RESPITE FOUNDATION,,814965846,NEW MARKET,MD,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
76,A NEW LEAF,,860256667,MESA,AZ,501(C)3,25100,,FOR RECIPIENT'S EXEMPT PURPOSE
77,A PLACE CALLED HOME,,954427291,LOS ANGELES,CA,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
78,A PLACE OF GRACE LTD,,391962892,LA CROSSE,WI,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
79,A PRECIOUS CHILD INC,,263349334,WESTMINSTER,CO,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
80,A SIMPLE GESTURE GREENSBORO INC,,472995932,GREENSBORO,NC,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
81,A TINY HOME FOR GOOD INC,,471629588,SYRACUSE,NY,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
82,A TORAH INFERTILITY MEDIUM OF EXCHANGE,,113394747,BROOKLYN,NY,501(C)3,11840,,FOR RECIPIENT'S EXEMPT PURPOSE
83,A WELL-FED WORLD,,270865905,ORLANDO,FL,501(C)3,952510,,FOR RECIPIENT'S EXEMPT PURPOSE
84,A WIDER CIRCLE INC,,522345144,SILVER SPRING,MD,501(C)3,38250,,FOR RECIPIENT'S EXEMPT PURPOSE
85,A WOMAN'S WORK INC,,208078513,LONGMONT,CO,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
86,A WORLD FOR CHILDREN,,742811105,ROUND ROCK,TX,501(C)3,12158,,FOR RECIPIENT'S EXEMPT PURPOSE
87,ABLE - ARTISTS BREAKING LIMITS & EXPECTATIONS,,812667531,CHICAGO,IL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
88,AC FOUNDATION,,472377003,THONOTOSASSA,FL,501(C)3,105000,,FOR RECIPIENT'S EXEMPT PURPOSE
89,AAPLE ACADEMY FOUNDATION,,273799005,SANTA BARBARA,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
90,AARP FOUNDATION,,520794300,WASHINGTON,DC,501(C)3,51350,,FOR RECIPIENT'S EXEMPT PURPOSE
91,AASE HAUGEN HOMES INC,,420680299,DECORAH,IA,501(C)3,6670,,FOR RECIPIENT'S EXEMPT PURPOSE
92,AAVI INC DBA LOVESERVES INTERNATIONAL,,650406418,ELLENTON,FL,501(C)3,159300,,FOR RECIPIENT'S EXEMPT PURPOSE
93,ABANDONED PET RESCUE INC,,650655473,FORT LAUDERDALE,FL,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
94,ABARA INC,,843036435,EL PASO,TX,501(C)3,6650,,FOR RECIPIENT'S EXEMPT PURPOSE
95,ABBEY FOUNDATION OF OREGON,,043703021,ST BENEDICT,OR,501(C)3,30500,,FOR RECIPIENT'S EXEMPT PURPOSE
96,ABC INC OF NEW CANAAN,,237352164,NEW CANAAN,CT,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
97,ABDUL SATTAR EDHI INTERNATIONAL FOUNDATION INC,,113013369,CORONA,NY,501(C)3,18000,,FOR RECIPIENT'S EXEMPT PURPOSE
98,ABEL SPEAKS,,822640505,DALLAS,TX,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
99,ABERDEEN AREA HUMANE SOCIETY,,460368620,ABERDEEN,SD,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
100,ABES GARDEN,,061818302,NASHVILLE,TN,501(C)3,56500,,FOR RECIPIENT'S EXEMPT PURPOSE
101,ABFM FOUNDATION INC,,611368512,LEXINGTON,KY,501(C)3,75000,,FOR RECIPIENT'S EXEMPT PURPOSE
102,ABIDING HOPE LUTHERAN CHURCH,,841074390,LITTLETON,CO,501(C)3,63000,,FOR RECIPIENT'S EXEMPT PURPOSE
103,ABIDING PEACE ACADEMY,,570706010,SIMPSONVILLE,SC,501(C)3,16700,,FOR RECIPIENT'S EXEMPT PURPOSE
104,ABILENE BOYS RANCH INC,,750948921,ABILENE,TX,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
105,ABILENE CHRISTIAN SCHOOL INC,,752137523,ABILENE,TX,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
106,ABILENE CHRISTIAN UNIVERSITY,,750851900,ABILENE,TX,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
107,ABILITY BEYOND DISABILITY INC,,060776594,BETHEL,CT,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
108,ABILITY DOGS OF ARIZONA,,953247091,TUCSON,AZ,501(C)3,52500,,FOR RECIPIENT'S EXEMPT PURPOSE
109,ABILITYPATH,,941156502,REDWOOD CITY,CA,501(C)3,18500,,FOR RECIPIENT'S EXEMPT PURPOSE
110,ABILITYPATH HOUSING,,941546643,REDWOOD CITY,CA,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
111,ABINGTON HEALTH FOUNDATION,,232188052,PHILADELPHIA,PA,501(C)3,241000,,FOR RECIPIENT'S EXEMPT PURPOSE
112,ABINGTON MEMORIAL HOSPITAL,,231352152,PHILADELPHIA,PA,501(C)3,35821,,FOR RECIPIENT'S EXEMPT PURPOSE
113,ABLE CHILD PARENTS FOR LABEL & DRUG FREE EDUCATION,,900131110,WAGENER,SC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
114,ABLE FLIGHT INC,,205001037,CHAPEL HILL,NC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
115,ABLE FORCE EDUCATION,,923440074,SOUTHAMPTON,PA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
116,ABODE SERVICES,,943087060,FREMONT,CA,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
117,ABORTION CARE NETWORK,,261972058,WASHINGTON,DC,501(C)3,52000,,FOR RECIPIENT'S EXEMPT PURPOSE
118,ABORTION FREEDOM PARTNERSHIP,,843867470,SARATOGA,CA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
119,ABORTION LIBERATION FUND OF PA,,843028266,PHILADELPHIA,PA,501(C)3,12220,,FOR RECIPIENT'S EXEMPT PURPOSE
120,ABOVE THE CLOUDS INC,,461611467,NORWOOD,MA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
121,ABQ CORO LUX,,475561266,ALBUQUERQUE,NM,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
122,ABRAHAM FUND INITIATIVES,,133556715,NEW YORK CITY,NY,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
123,ABRAHAM JOSHUA HESCHEL SCHOOL,,133091539,NEW YORK CITY,NY,501(C)3,13500,,FOR RECIPIENT'S EXEMPT PURPOSE
124,ABRAMS HEBREW ACADEMY,,216001415,YARDLEY,PA,501(C)3,7300,,FOR RECIPIENT'S EXEMPT PURPOSE
125,ABRAZOS COMMUNITY HEALING CENTER,,882657213,SANTA FE,NM,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
126,ABRIA PREGNANCY RESOURCES,,411278207,ST PAUL,MN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
127,ABUNDANCE CAPITAL,,872850443,GREENVILLE,SC,501(C)3,53000,,FOR RECIPIENT'S EXEMPT PURPOSE
128,ABUNDANCE INTERNATIONAL INC,,203354801,NORTH LAS VEGAS,NV,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
129,ABUNDANT LIFE MISSION INC,,472220529,MENOMINEE,MI,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
130,ABWE FOUNDATION INC,,232913381,HARRISBURG,PA,501(C)3,15700,,FOR RECIPIENT'S EXEMPT PURPOSE
131,ACACIA FRATERNITY FOUNDATION INC,,351778332,CARMEL,IN,501(C)3,9185,,FOR RECIPIENT'S EXEMPT PURPOSE
132,ACADEMY ART MUSEUM INC,,526051766,EASTON,MD,501(C)3,49600,,FOR RECIPIENT'S EXEMPT PURPOSE
133,ACADEMY AT THE LAKES INC,,593592809,LAND O LAKES,FL,501(C)3,280000,,FOR RECIPIENT'S EXEMPT PURPOSE
134,ACADEMY CENTER OF THE ARTS INC,,237061145,LYNCHBURG,VA,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
135,ACADEMY FOR TEACHERS,,454681404,NEW YORK CITY,NY,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
136,ACADEMY FOR URBAN SCHOOL LEADERSHIP,,364447457,CHICAGO,IL,501(C)3,155000,,FOR RECIPIENT'S EXEMPT PURPOSE
137,ACADEMY HIGH,,811308992,CHAMPAIGN,IL,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
138,ACADEMY OF NOTRE DAME DE NAMUR,,231465491,VILLANOVA,PA,501(C)3,9000,,FOR RECIPIENT'S EXEMPT PURPOSE
139,ACADEMY OF SAINT ELIZABETH,,222738106,CONVENT STATION,NJ,501(C)3,6200,,FOR RECIPIENT'S EXEMPT PURPOSE
140,ACADEMY OF THE CITY CHARTER SCHOOL,,274466971,WOODSIDE,NY,501(C)3,17000,,FOR RECIPIENT'S EXEMPT PURPOSE
141,ACADEMY OF THE HOLY ANGELS,,410696903,MINNEAPOLIS,MN,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
142,ACADEMY OF THE HOLY CROSS INC,,520683113,KENSINGTON,MD,501(C)3,10750,,FOR RECIPIENT'S EXEMPT PURPOSE
143,ACADEMY OF THE HOLY NAMES,,141514566,ALBANY,NY,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
144,ACADEMY OF THE HOLY NAMES OF FLORIDA INC,,590910354,TAMPA,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
145,ACADEMY OF THE SACRED HEART,,430662494,ST CHARLES,MO,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
146,ACADEMY OF THE SACRED HEART,,381358173,BLOOMFIELD HILLS,MI,501(C)3,8600,,FOR RECIPIENT'S EXEMPT PURPOSE
147,ACADEMY OF VOCAL ARTS,,231352001,PHILADELPHIA,PA,501(C)3,31500,,FOR RECIPIENT'S EXEMPT PURPOSE
148,ACADEMY PREP CENTER OF ST PETERSBURG INC,,593623000,ST PETERSBURG,FL,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
149,ACCELERATE CHANGE INC,,823400062,BOSTON,MA,501(C)3,1673768,,FOR RECIPIENT'S EXEMPT PURPOSE
150,ACCESS,,930665396,MEDFORD,OR,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
151,ACCESS ACADEMIES,,203443231,ST LOUIS,MO,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
152,ACCESS COLLEGE FOUNDATION,,541440734,NORFOLK,VA,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
153,ACCESS COMMUNITY HEALTH CENTERS INC,,391391134,MADISON,WI,501(C)3,19500,,FOR RECIPIENT'S EXEMPT PURPOSE
154,ACCESS FUND,,943131165,BOULDER,CO,501(C)3,9500,,FOR RECIPIENT'S EXEMPT PURPOSE
155,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,,010595862,SAN FRANCISCO,CA,501(C)3,8500,,FOR RECIPIENT'S EXEMPT PURPOSE
156,ACCESS JUSTICE BROOKLYN INC,,113155182,BROOKLYN,NY,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
157,ACCESS LIVING OF METROPOLITAN CHICAGO,,363310774,CHICAGO,IL,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
158,ACCESS REPRODUCTIVE CARE-SOUTHEAST,,473813101,ATLANTA,GA,501(C)3,20518,,FOR RECIPIENT'S EXEMPT PURPOSE
159,ACCESSIBLE HOPE INTERNATIONAL,,270571060,WHEATON,IL,501(C)3,62000,,FOR RECIPIENT'S EXEMPT PURPOSE
160,ACCION,,132535763,WASHINGTON,DC,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
161,ACCION OPPORTUNITY FUND COMMUNITY DEVELOPMENT,,311719434,SAN JOSE,CA,501(C)3,1050000,,FOR RECIPIENT'S EXEMPT PURPOSE
162,ACCORDIA CORPORATION,,851327838,LEXINGTON,MA,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
163,ACCURACY IN MEDIA INC,,237135837,WASHINGTON,DC,501(C)3,1083905,,FOR RECIPIENT'S EXEMPT PURPOSE
164,ACE MENTOR PROGRAM OF AMERICA INC,,510465877,PHILADELPHIA,PA,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
165,ACEC RESEARCH INSTITUTE,,521140340,WASHINGTON,DC,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
166,ACEING AUTISM INC,,262688140,LOS ANGELES,CA,501(C)3,31000,,FOR RECIPIENT'S EXEMPT PURPOSE
167,ACES FOR ALZHEIMERS INC,,812537952,LARCHMONT,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
168,ACHIEVE TAHOE,,680024920,TRUCKEE,CA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
169,ACHIEVEABILITY,,232215980,PHILADELPHIA,PA,501(C)3,27500,,FOR RECIPIENT'S EXEMPT PURPOSE
170,ACHIEVEMENT ACADEMY INC,,590774205,LAKELAND,FL,501(C)3,11600,,FOR RECIPIENT'S EXEMPT PURPOSE
171,ACHIEVEMENT FIRST,,651203744,NEW HAVEN,CT,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
172,ACHIEVEMENT REWARDS FOR COLLEG SCIENTISTS FOUNDATI,,840718040,DENVER,CO,501(C)3,23050,,FOR RECIPIENT'S EXEMPT PURPOSE
173,ACHIEVEMENT REWARDS FOR COLLEGE SCIENTISTS FOUNDAT,,562459737,LAKE OSWEGO,OR,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
174,ACHUNGO COMMUNITY CENTER,,611598457,MOUNTAIN VIEW,CA,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
175,ACI INTERNATIONAL INC,,462868599,BETHESDA,MD,501(C)3,18000,,FOR RECIPIENT'S EXEMPT PURPOSE
176,ACKERMAN INSTITUTE FOR THE FAMILY,,131923959,NEW YORK CITY,NY,501(C)3,19600,,FOR RECIPIENT'S EXEMPT PURPOSE
177,ACLU FOUNDATION OF COLORADO INC,,237028224,DENVER,CO,501(C)3,11500,,FOR RECIPIENT'S EXEMPT PURPOSE
178,ACLU FOUNDATION OF GEORGIA INC,,237115937,ATLANTA,GA,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
179,ACLU FOUNDATION OF MASSACHUSETTS INC,,473686152,BOSTON,MA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
180,ACLU FOUNDATION OF SAN DIEGO AND IMPERIAL COUNTIES,,330325791,SAN DIEGO,CA,501(C)3,54822,,FOR RECIPIENT'S EXEMPT PURPOSE
181,ACLU FOUNDATION OF SOUTHERN CALIFORNIA,,952673361,LOS ANGELES,CA,501(C)3,88362,,FOR RECIPIENT'S EXEMPT PURPOSE
182,ACLU FOUNDATION OF TEXAS INC,,760343171,HOUSTON,TX,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
183,ACLU OF FLORIDA,,237137529,CORAL GABLES,FL,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
184,ACLU OF NORTH CAROLINA,,561019644,RALEIGH,NC,501(C)3,38000,,FOR RECIPIENT'S EXEMPT PURPOSE
185,ACMC FOUNDATION,,341392784,ASHTABULA,OH,501(C)3,13500,,FOR RECIPIENT'S EXEMPT PURPOSE
186,ACORN CENTER FOR THE PERFORMING ARTS,,472717128,THREE OAKS,MI,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
187,ACRES HOMES COMMUNITY ADVOCACY GROUP CORPORATION,,881898938,HOUSTON,TX,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
188,ACRES LAND TRUST,,310976955,HUNTERTOWN,IN,501(C)3,16000,,FOR RECIPIENT'S EXEMPT PURPOSE
189,ACRES OF DIAMONDS,,911684691,DUVALL,WA,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
190,ACS DEVELOPMENT COMPANY II INC,,821993189,ATLANTA,GA,501(C)3,66350,,FOR RECIPIENT'S EXEMPT PURPOSE
191,ACT (A CONTEMPORARY THEATRE) OF CONNECTICUT,,813092871,RIDGEFIELD,CT,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
192,ACT II PLAYHOUSE LTD,,232980813,AMBLER,PA,501(C)3,9500,,FOR RECIPIENT'S EXEMPT PURPOSE
193,ACTASIA INC,,464200560,BREWSTER,NY,501(C)3,163200,,FOR RECIPIENT'S EXEMPT PURPOSE
194,ACTBEYOND,,271928559,RICHARDSON,TX,501(C)3,11650,,FOR RECIPIENT'S EXEMPT PURPOSE
195,ACTBLUE CHARITIES INC,,473739141,BOSTON,MA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
196,ACTION AGAINST HUNGER USA,,133327220,NEW YORK CITY,NY,501(C)3,177052,,FOR RECIPIENT'S EXEMPT PURPOSE
197,ACTION FOR INDIA,,455598949,CHICAGO,IL,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
