row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
88,A DOOR OF HOPE PREGNANCY CENTER INC,,51-0263402,WILMINGTON,DE,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
89,A FAR CRY INC,,30-0456355,SHELBURNE FLS,MA,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
90,A FARM LESS ORDINARY,,81-1191778,PURCELLVILLE,VA,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
91,A FOUNDATION BUILDING STRENGTH INC,,26-1761329,PALO ALTO,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
92,A FUTURE FOR EVERY CHILD,,82-4259548,SUNNYVALE,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
93,A GIFT FOR TEACHING INC,,59-3515162,ORLANDO,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
94,A HAND OF HOPE PREGNANCY RESOURCE CENTER,,20-2736193,FUQUAY VARINA,NC,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
95,A HAVEN,,81-3342825,EXTON,PA,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
96,A HEALTHIER DEMOCRACY INC,,86-2040929,BOSTON,MA,501(C)3,16571,,FOR RECIPIENT'S EXEMPT PURPOSE
97,A HOUSE ON BEEKMAN INC,,90-0912680,BRONX,NY,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
98,A JEWISH VOICE FOR PEACE INC,,90-0018359,BERKELEY,CA,501(C)3,78650,,FOR RECIPIENT'S EXEMPT PURPOSE
99,A JUST WORLD,,87-1509228,SPOKANE,WA,501(C)3,110000,,FOR RECIPIENT'S EXEMPT PURPOSE
100,A KEY FOR A CURE FOUNDATION,,47-4457105,SALINAS,CA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
101,A LEG TO STAND ON INC,,02-0594709,NEW YORK,NY,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
102,A LIGHT OF HOPE,,81-4235976,GRAND RAPIDS,MI,501(C)3,52000,,FOR RECIPIENT'S EXEMPT PURPOSE
103,A MAINEHEALTH HCSR,,01-0238552,PORTLAND,ME,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
104,A MILTON MILLER MEMORIAL FUND INC,,95-2960607,LOS ANGELES,CA,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
105,A NEW LEAF INC,,86-0256667,MESA,AZ,501(C)3,53100,,FOR RECIPIENT'S EXEMPT PURPOSE
106,A NEW LEAF INC,,73-1042760,BROKEN ARROW,OK,501(C)3,5750,,FOR RECIPIENT'S EXEMPT PURPOSE
107,A NOISE WITHIN,,95-4443878,PASADENA,CA,501(C)3,49459,,FOR RECIPIENT'S EXEMPT PURPOSE
108,A PLACE CALLED HOME,,95-4427291,LOS ANGELES,CA,501(C)3,9500,,FOR RECIPIENT'S EXEMPT PURPOSE
109,A PRECIOUS CHILD INC,,26-3349334,WESTMINSTER,CO,501(C)3,8500,,FOR RECIPIENT'S EXEMPT PURPOSE
110,A ROCHA USA INC,,31-1751509,AUSTIN,TX,501(C)3,25500,,FOR RECIPIENT'S EXEMPT PURPOSE
111,A SANCTUARY FOR MILITARY FAMILIES INC,,26-1410596,PAGOSA SPRINGS,CO,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
112,A SIMPLE GESTURE GREENSBORO INC,,47-2995932,GREENSBORO,NC,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
113,A STEP AHEAD FOUNDATION OF EAST TENNESSEE INC,,81-1822497,KNOXVILLE,TN,501(C)3,16000,,FOR RECIPIENT'S EXEMPT PURPOSE
114,A TORAH INFERTILITY MEDIUM OF EXCHANGE,,11-3394747,BROOKLYN,NY,501(C)3,9540,,FOR RECIPIENT'S EXEMPT PURPOSE
115,A WEEK AWAY FOUNDATION,,47-0999107,LANCASTER,PA,501(C)3,14500,,FOR RECIPIENT'S EXEMPT PURPOSE
116,A WELL-FED WORLD,,27-0865905,WASHINGTON,DC,501(C)3,276000,,FOR RECIPIENT'S EXEMPT PURPOSE
117,A WIDER CIRCLE INC,,52-2345144,KENSINGTON,MD,501(C)3,47500,,FOR RECIPIENT'S EXEMPT PURPOSE
118,A WOMANS CONCERN INC,,23-1978059,LANCASTER,PA,501(C)3,54009,,FOR RECIPIENT'S EXEMPT PURPOSE
119,AAPLE ACADEMY FOUNDATION,,27-3799005,SANTA BARBARA,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
120,AARONS ACRES,,11-3820295,LANCASTER,PA,501(C)3,71000,,FOR RECIPIENT'S EXEMPT PURPOSE
121,AARP FOUNDATION,,52-0794300,WASHINGTON,DC,501(C)3,59194,,FOR RECIPIENT'S EXEMPT PURPOSE
122,AASE HAUGEN HOMES INC,,42-0680299,DECORAH,IA,501(C)3,6670,,FOR RECIPIENT'S EXEMPT PURPOSE
123,AAVI INC,,65-0406418,ELLENTON,FL,501(C)3,184363,,FOR RECIPIENT'S EXEMPT PURPOSE
124,ABANAR INC,,27-3624170,NEW YORK,NY,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
125,ABBEY FOUNDATION OF OREGON,,04-3703021,ST BENEDICT,OR,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
126,ABBOTT LOOP COMMUNITY CHAPEL INCORPORATED,,92-0040271,ANCHORAGE,AK,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
127,ABCD INC,,39-1967028,GLENDALE,WI,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
128,ABDUL SATTAR EDHI INTERNATIONAL FOUNDATION INC,,11-3013369,CORONA,NY,501(C)3,19821,,FOR RECIPIENT'S EXEMPT PURPOSE
129,ABEL SPEAKS,,82-2640505,PLANO,TX,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
130,ABES GARDEN,,06-1818302,NASHVILLE,TN,501(C)3,57518,,FOR RECIPIENT'S EXEMPT PURPOSE
131,ABIDING HOPE LUTHERAN CHURCH,,84-1074390,LITTLETON,CO,501(C)3,73000,,FOR RECIPIENT'S EXEMPT PURPOSE
132,ABIDING PEACE ACADEMY,,57-0706010,SIMPSONVILLE,SC,501(C)3,11600,,FOR RECIPIENT'S EXEMPT PURPOSE
133,ABILENE BOYS RANCH INC,,75-0948921,ABILENE,TX,501(C)3,50500,,FOR RECIPIENT'S EXEMPT PURPOSE
134,ABILENE CHRISTIAN UNIVERSITY,,75-0851900,ABILENE,TX,501(C)3,16000,,FOR RECIPIENT'S EXEMPT PURPOSE
135,ABILENE YOUTH SPORTS AUTHORITY INC,,20-0800483,ABILENE,TX,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
136,ABILIS INC,,06-6009327,GREENWICH,CT,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
137,ABILITY BEYOND DISABILITY INC,,06-0776594,BETHEL,CT,501(C)3,6250,,FOR RECIPIENT'S EXEMPT PURPOSE
138,ABILITYPATH,,94-1156502,REDWOOD CITY,CA,501(C)3,24600,,FOR RECIPIENT'S EXEMPT PURPOSE
139,ABILITYPATH HOUSING,,94-1546643,REDWOOD CITY,CA,501(C)3,30500,,FOR RECIPIENT'S EXEMPT PURPOSE
140,ABINGTON FRIENDS SCHOOL,,23-1390625,JENKINTOWN,PA,501(C)3,302000,,FOR RECIPIENT'S EXEMPT PURPOSE
141,ABINGTON MEMORIAL HOSPITAL,,23-1352152,ABINGTON,PA,501(C)3,35000,,FOR RECIPIENT'S EXEMPT PURPOSE
142,ABINGTON MEMORIAL HOSPITAL FOUNDATION,,23-2188052,PHILADELPHIA,PA,501(C)3,180000,,FOR RECIPIENT'S EXEMPT PURPOSE
143,ABINGTON SCHOOL DISTRICT EDUCATIONAL FOUNDATION,,23-2728083,ABINGTON,PA,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
144,ABLE - ARTISTS BREAKING LIMITS & EXPECTATIONS,,81-2667531,CHICAGO,IL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
145,ABLE FLIGHT INC,,20-5001037,CHAPEL HILL,NC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
146,ABLE FORCE EMPLOYMENT INC,,83-1264728,RICHBORO,PA,501(C)3,22500,,FOR RECIPIENT'S EXEMPT PURPOSE
147,ABOLITIONIST LAW CENTER,,46-2132412,PITTSBURGH,PA,501(C)3,177000,,FOR RECIPIENT'S EXEMPT PURPOSE
148,ABORTION ACCESS FUND INCORPORATED,,47-0831276,BELLEVUE,NE,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
149,ABORTION CARE NETWORK,,26-1972058,WASHINGTON,DC,501(C)3,66500,,FOR RECIPIENT'S EXEMPT PURPOSE
150,ABORTION COALITION FOR TELEMEDICINE INC,,93-3340045,NEW YORK,NY,501(C)3,26500,,FOR RECIPIENT'S EXEMPT PURPOSE
151,ABORTION FREEDOM FUND,,33-1938511,HO HO KUS,NJ,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
152,ABORTION LIBERATION FUND OF PA,,84-3028266,PHILADELPHIA,PA,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
153,ABORTION SURVIVORS NETWORK INC,,84-1906194,KANSAS CITY,MO,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
154,ABOUT FACE VETERANS AGAINST THE WAR,,35-2314550,ARVADA,CO,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
155,ABRAHAM FUND INITIATIVES,,13-3556715,NEW YORK,NY,501(C)3,8500,,FOR RECIPIENT'S EXEMPT PURPOSE
156,ABRAHAM JOSHUA HESCHEL SCHOOL,,13-3091539,NEW YORK,NY,501(C)3,16500,,FOR RECIPIENT'S EXEMPT PURPOSE
157,ABRAMS HEBREW ACADEMY,,21-6001415,YARDLEY,PA,501(C)3,8400,,FOR RECIPIENT'S EXEMPT PURPOSE
158,ABRAMSON SENIOR CARE FOUNDATION,,83-4603779,JENKINTOWN,PA,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
159,ABUNDANCE INSTITUTE,,93-2592059,NORTH LOGAN,UT,501(C)3,250000,,FOR RECIPIENT'S EXEMPT PURPOSE
160,ABUNDANCE INTERNATIONAL INC,,20-3354801,NORTH LAS VEGAS,NV,501(C)3,11500,,FOR RECIPIENT'S EXEMPT PURPOSE
161,ABUNDANT GRACE COASTSIDE WORKER,,47-5557537,HALF MOON BAY,CA,501(C)3,53500,,FOR RECIPIENT'S EXEMPT PURPOSE
162,ABUSED & HOMELESS CHILDRENS REFUGE,,54-0899463,VIENNA,VA,501(C)3,77000,,FOR RECIPIENT'S EXEMPT PURPOSE
163,ABWE FOUNDATION INC,,23-2913381,HARRISBURG,PA,501(C)3,19400,,FOR RECIPIENT'S EXEMPT PURPOSE
164,ACA OF CENTRAL FLORIDA INC,,59-3195479,LONGWOOD,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
165,ACACIA CENTER FOR JUSTICE,,87-4099467,NEW YORK,NY,501(C)3,80000,,FOR RECIPIENT'S EXEMPT PURPOSE
166,ACACIA FRATERNITY FOUNDATION INC,,35-1778332,CARMEL,IN,501(C)3,5050,,FOR RECIPIENT'S EXEMPT PURPOSE
167,ACADEMIC FREEDOM ALLIANCE INC,,85-3780742,PRINCETON,NJ,501(C)3,51000,,FOR RECIPIENT'S EXEMPT PURPOSE
168,ACADEMY ART MUSEUM INC,,52-6051766,EASTON,MD,501(C)3,46000,,FOR RECIPIENT'S EXEMPT PURPOSE
169,ACADEMY AT THE LAKES INC,,59-3592809,LAND O LAKES,FL,501(C)3,275000,,FOR RECIPIENT'S EXEMPT PURPOSE
170,ACADEMY CENTER OF THE ARTS INC,,23-7061145,LYNCHBURG,VA,501(C)3,72000,,FOR RECIPIENT'S EXEMPT PURPOSE
171,ACADEMY OF AMERICAN POETS INCORPORATED,,13-1879953,NEW YORK,NY,501(C)3,26019,,FOR RECIPIENT'S EXEMPT PURPOSE
172,ACADEMY OF BASIC EDUCATION INC,,39-0987840,BROOKFIELD,WI,501(C)3,5019,,FOR RECIPIENT'S EXEMPT PURPOSE
173,ACADEMY OF HAWAIIAN ARTS INC,,02-0669264,OAKLAND,CA,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
174,ACADEMY OF MUSIC OF PHILADELPHIA INC,,23-1501159,PHILADELPHIA,PA,501(C)3,17000,,FOR RECIPIENT'S EXEMPT PURPOSE
175,ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,,23-1352000,PHILADELPHIA,PA,501(C)3,33500,,FOR RECIPIENT'S EXEMPT PURPOSE
176,ACADEMY OF NOTRE DAME DE NAMUR,,23-1465491,VILLANOVA,PA,501(C)3,12750,,FOR RECIPIENT'S EXEMPT PURPOSE
177,ACADEMY OF OUR LADY OF MERCY LAURALTON HALL INCORP,,06-0653077,MILFORD,CT,501(C)3,350000,,FOR RECIPIENT'S EXEMPT PURPOSE
178,ACADEMY OF OUR LADY OF PEACE,,95-2113807,SAN DIEGO,CA,501(C)3,11500,,FOR RECIPIENT'S EXEMPT PURPOSE
179,ACADEMY OF THE HOLY ANGELS,,41-0696903,RICHFIELD,MN,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
180,ACADEMY OF THE HOLY CROSS INC,,52-0683113,KENSINGTON,MD,501(C)3,8250,,FOR RECIPIENT'S EXEMPT PURPOSE
181,ACADEMY OF THE HOLY NAMES,,14-1514566,ALBANY,NY,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
182,ACADEMY OF THE NEW CHURCH,,23-1433899,BRYN ATHYN,PA,501(C)3,99500,,FOR RECIPIENT'S EXEMPT PURPOSE
183,ACADEMY OF THE SACRED HEART,,43-0662494,ST CHARLES,MO,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
184,ACADEMY OF VOCAL ARTS,,23-1352001,PHILADELPHIA,PA,501(C)3,32500,,FOR RECIPIENT'S EXEMPT PURPOSE
185,ACADEMY PREP CENTER OF ST PETERSBURG INC,,59-3623000,ST PETERSBURG,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
186,ACADIA SENIOR COLLEGE,,20-1779462,HULLS COVE,ME,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
187,ACCA INC ANNANDALE CHRISTIAN COMMUNITY FOR ACTION,,54-0836157,ANNANDALE,VA,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
188,ACCELERATE CHANGE INC,,82-3400062,BOSTON,MA,501(C)3,134500,,FOR RECIPIENT'S EXEMPT PURPOSE
189,ACCENT PONTIAC INC,,81-4608180,PONTIAC,MI,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
190,ACCESO IMPACT INC,,86-3125507,BROOKLYN,NY,501(C)3,1100000,,FOR RECIPIENT'S EXEMPT PURPOSE
191,ACCESS,,23-7444497,DEARBORN,MI,501(C)3,12095,,FOR RECIPIENT'S EXEMPT PURPOSE
192,ACCESS COMMUNITY HEALTH CENTERS INC,,39-1391134,MADISON,WI,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
193,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,,01-0595862,SAN FRANCISCO,CA,501(C)3,9000,,FOR RECIPIENT'S EXEMPT PURPOSE
